model,top1,top3,triplet_loss,recon_mse,classes_hit,total_classes
LoRA-Ensemble,0.11609907120743033,0.8647058823529412,0.4088278114795685,,8,11
Baseline-Ensemble,0.08018575851393189,0.4801857585139319,0.4088278114795685,,8,11
