model,accuracy,f1_macro,precision_macro,recall_macro,balanced_accuracy,triplet_loss,reconstruction_mse
lora,0.36006191950464395,0.05119587427838959,0.04300475332800671,0.06819415160647885,0.06819415160647885,0.41677311062812805,
baseline,0.3442724458204334,0.052338539722548864,0.03942445794280193,0.09176253213571721,0.09176253213571721,0.40882784128189087,
